id,Distance,Start_coordinates,End_coordinates
6605297.0,405.0,"[51.758326, 4.641365]","[51.761858, 4.642782]"
7387726.0,869.2,"[51.76833, 4.662388]","[51.776133, 4.662877]"
6679353.0,611.3,"[51.777032, 4.650726]","[51.775499, 4.648479]"
11616707.0,768.8,"[51.784237, 4.663337]","[51.777873, 4.659907]"
15885698.0,1293.2,"[51.762215, 4.6604]","[51.764321, 4.650053]"
3202459.0,5082.7,"[51.772843888029456, 4.639046872034669]","[51.772852689027786, 4.639123482629657]"
7513978.0,754.0,"[51.783878, 4.651352]","[51.777108, 4.651012]"
9607272.0,152.0,"[51.773617, 4.684001]","[51.7731, 4.681963]"
14194636.0,1376.8,"[51.77469, 4.68803]","[51.779617, 4.706324]"
18277146.0,729.7,"[51.771104, 4.698123]","[51.774955, 4.706634]"
18277133.0,730.4,"[51.766015, 4.69015]","[51.7704, 4.698167]"
10268060.0,703.5,"[51.781857, 4.68787]","[51.775539, 4.68757]"
3386772.0,503.5,"[51.77345159589136, 4.68757553569312]","[51.76894108195443, 4.687203510644106]"
14427292.0,1450.0,"[51.767011, 4.713551]","[51.760339, 4.696104]"
9756242.0,303.2,"[51.781731, 4.713161]","[51.784431, 4.713293]"
13152730.0,1266.9,"[51.768335, 4.712692]","[51.778741, 4.706972]"
5681639.0,506.5,"[51.774403, 4.707067]","[51.778955, 4.706997]"
3096541.0,1108.3,"[51.77570930127414, 4.741615890568464]","[51.78458994045446, 4.747951110590698]"
5848500.0,1396.9,"[51.762398, 4.734235]","[51.77393, 4.741079]"
3680034.0,280.1,"[51.78428241983056, 4.747396549209952]","[51.78231719881296, 4.744885582476854]"
